,text,bbox,word_type
0,"
","BBox(x=[553, 553], y=[534, 584])",WordType.LINEBREAK
1,SENT,"BBox(x=[553, 743], y=[534, 584])",WordType.TEXT
2,TO,"BBox(x=[767, 865], y=[534, 584])",WordType.TEXT
3,"
","BBox(x=[553, 553], y=[805, 855])",WordType.LINEBREAK
4,SOLD,"BBox(x=[553, 748], y=[805, 855])",WordType.TEXT
5,TO,"BBox(x=[771, 869], y=[805, 855])",WordType.TEXT
6,"
","BBox(x=[553, 553], y=[1076, 1126])",WordType.LINEBREAK
7,SHIPPING,"BBox(x=[553, 929], y=[1076, 1126])",WordType.TEXT
8,"
","BBox(x=[553, 553], y=[1346, 1621])",WordType.LINEBREAK
9,STATEMENT,"BBox(x=[553, 994], y=[1346, 1396])",WordType.TEXT
10,DATE,"BBox(x=[1022, 1210], y=[1347, 1395])",WordType.TEXT
11,"
","BBox(x=[1022, 1022], y=[1347, 1395])",WordType.LINEBREAK
12,RECEIVED,"BBox(x=[556, 926], y=[1459, 1509])",WordType.TEXT
13,"
","BBox(x=[556, 556], y=[1459, 1509])",WordType.LINEBREAK
14,INVOICE,"BBox(x=[554, 876], y=[1571, 1621])",WordType.TEXT
15,"
","BBox(x=[1251, 1251], y=[532, 753])",WordType.LINEBREAK
16,Alexander-Andrews,"BBox(x=[1251, 1899], y=[532, 584])",WordType.TEXT
17,"
","BBox(x=[1251, 1251], y=[532, 584])",WordType.LINEBREAK
18,05784,"BBox(x=[1254, 1458], y=[612, 663])",WordType.TEXT
19,Mcgee,"BBox(x=[1493, 1695], y=[614, 676])",WordType.TEXT
20,Street,"BBox(x=[1729, 1929], y=[613, 663])",WordType.TEXT
21,"
","BBox(x=[1729, 1729], y=[613, 663])",WordType.LINEBREAK
22,North,"BBox(x=[1256, 1430], y=[690, 742])",WordType.TEXT
23,"Johnstad,","BBox(x=[1463, 1778], y=[690, 753])",WordType.TEXT
24,NJ,"BBox(x=[1814, 1882], y=[693, 742])",WordType.TEXT
25,92044,"BBox(x=[1916, 2121], y=[692, 742])",WordType.TEXT
26,"
","BBox(x=[1251, 1251], y=[803, 1024])",WordType.LINEBREAK
27,Hernandez,"BBox(x=[1256, 1605], y=[803, 855])",WordType.TEXT
28,Group,"BBox(x=[1637, 1834], y=[805, 867])",WordType.TEXT
29,"
","BBox(x=[1637, 1637], y=[805, 867])",WordType.LINEBREAK
30,3423,"BBox(x=[1255, 1414], y=[884, 934])",WordType.TEXT
31,Hayes,"BBox(x=[1451, 1647], y=[885, 946])",WordType.TEXT
32,Brooks,"BBox(x=[1681, 1901], y=[882, 934])",WordType.TEXT
33,Suite,"BBox(x=[1933, 2097], y=[884, 934])",WordType.TEXT
34,477,"BBox(x=[2127, 2247], y=[885, 933])",WordType.TEXT
35,"
","BBox(x=[2127, 2127], y=[885, 933])",WordType.LINEBREAK
36,"Andrewville,","BBox(x=[1251, 1654], y=[961, 1024])",WordType.TEXT
37,WV,"BBox(x=[1686, 1793], y=[964, 1012])",WordType.TEXT
38,66830,"BBox(x=[1824, 2028], y=[962, 1013])",WordType.TEXT
39,"
","BBox(x=[1254, 1254], y=[1074, 1297])",WordType.LINEBREAK
40,Medina-Ramirez,"BBox(x=[1256, 1787], y=[1074, 1126])",WordType.TEXT
41,"
","BBox(x=[1256, 1256], y=[1074, 1126])",WordType.LINEBREAK
42,837,"BBox(x=[1254, 1372], y=[1154, 1205])",WordType.TEXT
43,Julia,"BBox(x=[1405, 1547], y=[1153, 1205])",WordType.TEXT
44,Brook,"BBox(x=[1585, 1773], y=[1153, 1205])",WordType.TEXT
45,Apt.,"BBox(x=[1801, 1929], y=[1156, 1217])",WordType.TEXT
46,518,"BBox(x=[1968, 2085], y=[1154, 1205])",WordType.TEXT
47,"
","BBox(x=[1968, 1968], y=[1154, 1205])",WordType.LINEBREAK
48,"Goodborough,","BBox(x=[1254, 1718], y=[1232, 1297])",WordType.TEXT
49,VA,"BBox(x=[1751, 1840], y=[1235, 1283])",WordType.TEXT
50,99679,"BBox(x=[1870, 2074], y=[1234, 1284])",WordType.TEXT
51,"
","BBox(x=[1254, 1254], y=[1344, 1621])",WordType.LINEBREAK
52,06/25/2006,"BBox(x=[1254, 1646], y=[1344, 1405])",WordType.TEXT
53,"
","BBox(x=[1254, 1254], y=[1344, 1405])",WordType.LINEBREAK
54,02/13/1995,"BBox(x=[1254, 1645], y=[1457, 1518])",WordType.TEXT
55,"
","BBox(x=[1254, 1254], y=[1457, 1518])",WordType.LINEBREAK
56,670094950,"BBox(x=[1254, 1627], y=[1571, 1621])",WordType.TEXT
